bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Black footed Albatross,1,Black-footed Albatross,Black-footed Albatross,1,Black-footed Albatross,Black-footed Albatross,Phoebastria nigripes,Phoebastria nigripes,Phoebastria nigripes,Diomedeidae,Procellariiformes,AVIBASE-EE8ECB1D,4,101.2,67.8,23.8,30.8,87.4,476.0,313.2,171.2,64.7,136.0,3188.4,Marine,3,2.0,Carnivore,Aquatic predator,Aquatic,-84.95,85.01,14.59,-17.36,84626560.97
Red winged Blackbird,10,Red-winged Blackbird,Red-winged Blackbird,10,Red-winged Blackbird,Red-winged Blackbird,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Icteridae,Passeriformes,AVIBASE-C86D078E,6,22.7,15.4,5.6,8.8,28.0,118.0,27.8,88.9,24.0,88.9,50.8,Wetland,3,3.0,Herbivore,Granivore,Generalist,9.66,67.41,44.62,-102.04,13703226.95
Brown Pelican,100,Brown Pelican,Brown Pelican,100,Brown Pelican,Brown Pelican,Pelecanus occidentalis,Pelecanus occidentalis,Pelecanus occidentalis,Pelecanidae,Pelecaniformes,AVIBASE-F59AB6B3,4,319.5,285.0,38.8,43.4,71.7,494.6,241.0,259.5,48.1,128.2,3427.8,Marine,3,1.0,Carnivore,Aquatic predator,Aerial,-3.22,39.59,17.7,-83.58,1823742.36
White Pelican,101,Great White Pelican,Great White Pelican,101,Great White Pelican,Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanidae,Pelecaniformes,AVIBASE-8BAFB01E,4,359.0,341.8,54.4,49.1,128.5,646.4,266.8,366.8,42.1,160.8,9322.3,Wetland,3,2.0,Carnivore,Aquatic predator,Aquatic,-34.84,54.73,27.38,40.85,810182.64
Western Wood Pewee,102,Western Wood Pewee,Western Wood Pewee,102,Western Wood Pewee,Western Wood Pewee,Contopus sordidulus,Contopus sordidulus,Contopus sordidulus,Tyrannidae,Passeriformes,AVIBASE-F6CA75F0,4,16.4,9.2,6.4,4.1,13.8,82.6,29.0,57.7,33.5,60.2,13.1,Forest,1,3.0,Carnivore,Invertivore,Insessorial,7.31,67.81,45.91,-116.12,6939803.44
Sayornis,103,Sayornis,Sayornis,103,Sayornis,Sayornis,Sayornis saya,Sayornis saya,Sayornis saya,Tyrannidae,Passeriformes,AVIBASE-28669A3D,4,19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,Forest,3,3.0,Carnivore,Invertivore,Insessorial,23.16,69.87,51.2,-122.26,7204273.9
American Pipit,104,African Pipit,African Pipit,104,African Pipit,African Pipit,Anthus cinnamomeus,Anthus cinnamomeus,Anthus cinnamomeus,Motacillidae,Passeriformes,AVIBASE-0D7CC717,8,16.5,9.8,4.0,4.2,26.2,86.8,21.3,65.6,24.6,65.5,32.2,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,-34.84,18.86,-10.11,28.01,9825233.85
Whip poor Will,105,Eastern Whip-poor-will,Eastern Whip-poor-will,105,Eastern Whip-poor-will,Eastern Whip-poor-will,Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,Caprimulgidae,Caprimulgiformes,AVIBASE-1A09655B,4,16.1,6.7,3.8,2.7,15.1,154.4,72.3,84.4,46.1,114.2,53.3,Forest,1,3.0,Carnivore,Invertivore,Generalist,31.65,54.53,42.29,-86.2,3403564.97
Horned Puffin,106,Horned Puffin,Horned Puffin,106,Horned Puffin,Horned Puffin,Fratercula corniculata,Fratercula corniculata,Fratercula corniculata,Alcidae,Charadriiformes,AVIBASE-24111FA5,4,51.0,16.8,7.3,31.6,32.1,185.5,96.8,88.4,52.3,63.3,536.1,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,45.26,72.43,56.55,-4.48,1467964.71
Common Raven,107,Common Hawk-Cuckoo,Common Hawk-Cuckoo,107,Common Hawk-Cuckoo,Common Hawk-Cuckoo,Hierococcyx varius,Hierococcyx varius,Hierococcyx varius,Cuculidae,Cuculiformes,AVIBASE-0880DDC8,4,26.1,14.9,7.7,7.6,23.5,191.0,66.8,124.0,35.0,161.4,103.0,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,5.92,34.17,22.17,80.81,3245384.68
